CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
5366035,AGMI,G4382,,,"26,67",19,"-0,99",13,"1,13",10,"1,26",13,"1,43",34,"5,25",9,"7,20",9,"9,31",23,"16,61",24,"25,66",23,"29,00",24,"9,99",9
5365939,AGMI,G4280,,,"26,43",19,"-1,24",14,"1,36",11,"1,39",14,"0,73",22,"3,18",9,"4,34",9,"8,41",23,"15,37",24,"26,77",24,"28,55",24,"9,83",10
5365943,AGMI,G4325,,,"24,81",20,"-1,18",13,"1,22",11,"1,18",14,"0,80",22,"3,15",9,"4,29",9,"8,18",23,"14,22",24,"24,83",24,"25,60",25,"9,98",9
5366043,AGMI,G4381,,,"24,66",19,"-0,80",13,"1,38",11,"1,46",14,"1,60",34,"3,74",9,"5,02",9,"7,71",23,"14,33",24,"25,50",24,"26,44",24,"10,63",10
5074185,AGMI,G2487,,,"24,50",21,"-0,78",13,"1,03",17,"1,26",17,"0,85",34,"4,48",9,"5,94",9,"9,78",21,"16,10",23,"27,81",29,"24,19",31,"9,86",9
5365793,AGMI,G4289,,,"24,26",20,"-1,30",14,"1,32",11,"1,36",14,"-0,49",34,"2,87",9,"3,85",9,"6,91",23,"12,96",25,"23,42",24,"24,68",25,"10,12",10
5366045,AGMI,G4355,,,"23,98",19,"-1,04",13,"1,29",11,"1,36",13,"1,88",34,"3,58",9,"4,83",9,"7,84",22,"13,80",24,"24,09",22,"24,25",23,"9,60",10
5366038,AGMI,G4387,,,"23,96",18,"-0,90",13,"1,14",10,"1,21",13,"1,50",34,"4,73",8,"6,43",8,"7,53",22,"13,59",23,"24,09",23,"24,69",24,"10,82",9
5366034,AGMI,G4366,,,"23,73",18,"-1,09",12,"1,34",11,"1,54",13,"0,78",34,"4,77",8,"6,55",8,"6,93",22,"12,98",24,"21,54",23,"24,71",24,"10,95",8
5366003,AGMI,G4369,,,"23,58",19,"-1,00",13,"1,32",11,"1,44",14,"0,76",34,"3,55",8,"4,84",8,"8,04",23,"14,27",24,"23,23",23,"24,01",24,"9,49",9
