CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
5074203,AGMI,G2545,,,"22,55",20,"-0,87",15,"1,54",31,"1,46",17,"1,60",34,"4,61",11,"6,17",11,"8,13",24,"13,76",25,"28,00",30,"23,46",26,"10,97",9
5074207,AGMI,G2548,,,"22,14",22,"-0,89",15,"0,86",31,"0,98",35,"1,81",34,"4,16",11,"5,65",10,"7,37",23,"12,66",25,"24,35",30,"22,63",32,"9,76",9
5074181,AGMI,G2472,,,"21,40",23,"-0,80",15,"1,29",31,"1,55",34,"0,52",34,"3,66",12,"4,87",12,"8,10",23,"13,06",25,"27,11",30,"20,64",32,"9,24",10
5074189,AGMI,G2533,,,"21,29",22,"-0,74",15,"1,56",31,"2,31",35,"0,53",34,"4,20",11,"5,62",10,"6,48",22,"11,15",24,"25,02",29,"23,56",31,"10,31",9
5074172,AGMI,G2465,,,"20,99",22,"-0,92",13,"1,18",33,"1,07",36,"0,53",35,"4,09",16,"5,50",16,"7,74",20,"12,53",21,"23,20",31,"20,43",33,"10,98",10
4794170,AGMI,G1205,,,"20,76",17,"-0,70",8,"0,35",29,"0,86",16,"2,79",35,"4,10",10,"5,68",10,"7,60",21,"12,84",23,"21,69",28,"23,16",31,"8,03",6
5074226,AGMI,G2743,,,"20,58",23,"-1,01",14,"1,29",31,"0,97",36,"2,75",35,"1,43",12,"2,17",12,"5,85",24,"10,55",26,"22,43",30,"20,97",33,"7,86",9
5074210,AGMI,G2502,,,"20,52",19,"-0,61",15,"0,81",32,"0,87",19,"1,08",35,"1,90",11,"2,91",11,"8,70",23,"14,53",25,"26,83",30,"21,72",22,"11,09",9
4230929,AGMI,F7159,,,"20,48",19,"-0,12",14,"1,10",31,"0,74",17,"0,53",35,"0,63",13,"1,14",13,"10,30",23,"15,96",24,"31,21",30,"26,39",26,"7,66",11
5074168,AGMI,G2450,,,"20,06",19,"-0,71",14,"0,93",19,"1,17",18,"0,10",35,"4,33",16,"5,87",16,"6,00",20,"10,38",20,"18,59",22,"18,47",22,"10,77",10
